sizing conc pH tempture time
9.72 50 6 60 6
13.5 50 6 60 6
9.8 75 6 60 6
14.04 75 6 60 6
10.13 50 7 60 6
11.27 50 7 60 6
11.8 75 7 60 6
11.3 75 7 60 6
12.7 50 6 70 6
11.37 50 6 70 6
11.96 75 6 70 6
12.05 75 6 70 6
11.38 50 7 70 6
9.92 50 7 70 6
11.8 75 7 70 6
11.1 75 7 70 6
13.15 50 6 60 8
13 50 6 60 8
10.6 75 6 60 8
12.37 75 6 60 8
10.37 50 7 60 8
12 50 7 60 8
11.3 75 7 60 8
11.64 75 7 60 8
13.05 50 6 70 8
14.55 50 6 70 8
11.15 75 6 70 8
15 75 6 70 8
12.7 50 7 70 8
14.1 50 7 70 8
13.2 75 7 70 8
16.12 75 7 70 8
