consump roof power scrap charge
866 -1 -1 -1 -1
862 -1 -1 -1 -1
800 -1 -1 -1 -1
946 1 -1 -1 -1
800 1 -1 -1 -1
840 1 -1 -1 -1
774 -1 1 -1 -1
834 -1 1 -1 -1
746 -1 1 -1 -1
709 1 1 -1 -1
789 1 1 -1 -1
646 1 1 -1 -1
1017 -1 -1 1 -1
990 -1 -1 1 -1
954 -1 -1 1 -1
1028 1 -1 1 -1
906 1 -1 1 -1
977 1 -1 1 -1
817 -1 1 1 -1
783 -1 1 1 -1
771 -1 1 1 -1
829 1 1 1 -1
806 1 1 1 -1
691 1 1 1 -1
988 -1 -1 -1 1
808 -1 -1 -1 1
650 -1 -1 -1 1
966 1 -1 -1 1
976 1 -1 -1 1
876 1 -1 -1 1
702 -1 1 -1 1
658 -1 1 -1 1
650 -1 1 -1 1
784 1 1 -1 1
700 1 1 -1 1
596 1 1 -1 1
922 -1 -1 1 1
808 -1 -1 1 1
868 -1 -1 1 1
1056 1 -1 1 1
870 1 -1 1 1
908 1 -1 1 1
798 -1 1 1 1
726 -1 1 1 1
700 -1 1 1 1
752 1 1 1 1
714 1 1 1 1
714 1 1 1 1
